@@	F2A00	Quintessential Latin	F2ABF
@font=Quintessential Serif, 18pt
F2A00;󲨀
F2A01;󲨁
F2A02;󲨂
F2A03;󲨃
F2A04;󲨄
F2A05;󲨅
F2A06;󲨆
F2A07;󲨇
F2A08;󲨈
F2A09;󲨉
F2A0A;󲨊
F2A0B;󲨋
F2A0C;󲨌
F2A0D;󲨍
F2A0E;󲨎
F2A0F;󲨏
F2A10;󲨐
F2A11;󲨑
F2A12;󲨒
F2A13;󲨓
F2A14;󲨔
F2A15;󲨕
F2A16;󲨖
F2A17;󲨗
F2A18;󲨘
F2A19;󲨙
F2A1A;󲨚
F2A1B;󲨛
F2A1C;󲨜
F2A1D;󲨝
F2A1E;󲨞
F2A1F;󲨟
F2A20;󲨠
F2A21;󲨡
F2A22;󲨢
F2A23;󲨣
F2A24;󲨤
F2A25;󲨥
F2A26;󲨦
F2A27;󲨧
F2A28;󲨨
F2A29;󲨩
F2A2A;󲨪
F2A2B;󲨫
F2A2C;󲨬
F2A2D;󲨭
F2A2E;󲨮
F2A2F;󲨯
F2A30;󲨰
F2A31;󲨱
F2A32;󲨲
F2A33;󲨳
F2A34;󲨴
F2A35;󲨵
F2A36;󲨶
F2A37;󲨷
F2A38;󲨸
F2A39;󲨹
F2A3A;󲨺
F2A3B;󲨻
F2A3C;󲨼
F2A3D;󲨽
F2A3E;󲨾
F2A3F;󲨿
F2A40;󲩀
F2A41;󲩁
F2A42;󲩂
F2A43;󲩃
F2A44;󲩄
F2A45;󲩅
F2A46;󲩆
F2A47;󲩇
F2A48;󲩈
F2A49;󲩉
F2A4A;󲩊
F2A4B;󲩋
F2A4C;󲩌
F2A4D;󲩍
F2A4E;󲩎
F2A4F;󲩏
F2A50;󲩐
F2A51;󲩑
F2A52;󲩒
F2A53;󲩓
F2A54;󲩔
F2A55;󲩕
F2A56;󲩖
F2A57;󲩗
F2A58;󲩘
F2A59;󲩙
F2A5A;󲩚
F2A5B;󲩛
F2A5C;󲩜
F2A5D;󲩝
F2A5E;󲩞
F2A5F;󲩟
F2A60;󲩠
F2A61;󲩡
F2A62;󲩢
F2A63;󲩣
F2A64;󲩤
F2A65;󲩥
F2A66;󲩦
F2A67;󲩧
F2A68;󲩨
F2A69;󲩩
F2A6A;󲩪
F2A6B;󲩫
F2A6C;󲩬
F2A6D;󲩭
F2A6E;󲩮
F2A6F;󲩯
F2A70;󲩰
F2A71;󲩱
F2A72;󲩲
F2A73;󲩳
F2A74;󲩴
F2A75;󲩵
F2A76;󲩶
F2A77;󲩷
F2A78;󲩸
F2A79;󲩹
F2A7A;󲩺
F2A7B;󲩻
F2A7C;󲩼
F2A7D;󲩽
F2A7E;󲩾
F2A7F;󲩿
F2A80;󲪀
F2A81;󲪁
F2A82;󲪂
F2A83;󲪃
F2A84;󲪄
F2A85;󲪅
F2A86;󲪆
F2A87;󲪇
F2A88;󲪈
F2A89;󲪉
F2A8A;󲪊
F2A8B;󲪋
F2A8C;󲪌
F2A8D;󲪍
F2A8E;󲪎
F2A8F;󲪏
F2A90;󲪐
F2A91;󲪑
F2A92;󲪒
F2A93;󲪓
F2A94;󲪔
F2A95;󲪕
F2A96;󲪖
F2A97;󲪗
F2A98;󲪘
F2A99;󲪙
F2A9A;󲪚
F2A9B;󲪛
F2A9C;󲪜
F2A9D;󲪝
F2A9E;󲪞
F2A9F;󲪟
F2AA0;󲪠
F2AA1;󲪡
F2AA2;󲪢
F2AA3;󲪣
F2AA4;󲪤
F2AA5;󲪥
F2AA6;󲪦
F2AA7;󲪧
F2AA8;󲪨
F2AA9;󲪩
F2AAA;󲪪
F2AAB;󲪫
F2AAC;󲪬
F2AAD;󲪭
F2AAE;󲪮
F2AAF;󲪯
F2AB0;󲪰
F2AB1;󲪱
F2AB2;󲪲
F2AB3;󲪳
F2AB4;󲪴
F2AB5;󲪵
F2AB6;󲪶
F2AB7;󲪷
F2AB8;󲪸
F2AB9;󲪹
F2ABA;󲪺
F2ABB;󲪻
F2ABC;󲪼
F2ABD;󲪽
F2ABE;󲪾
F2ABF;󲪿
@@	F2AC0	Quintessential Latin Extended-A	F2BBF
@font=Quintessential Serif, 18pt
F2AC0;󲫀
F2AC1;󲫁
F2AC2;󲫂
F2AC3;󲫃
F2AC4;󲫄
F2AC5;󲫅
F2AC6;󲫆
F2AC7;󲫇
F2AC8;󲫈
F2AC9;󲫉
F2ACA;󲫊
F2ACB;󲫋
F2ACC;󲫌
F2ACD;󲫍
F2ACE;󲫎
F2ACF;󲫏
F2AD0;󲫐
F2AD1;󲫑
F2AD2;󲫒
F2AD3;󲫓
F2AD4;󲫔
F2AD5;󲫕
F2AD6;󲫖
F2AD7;󲫗
F2AD8;󲫘
F2AD9;󲫙
F2ADA;󲫚
F2ADB;󲫛
F2ADC;󲫜
F2ADD;󲫝
F2ADE;󲫞
F2ADF;󲫟
F2AE0;󲫠
F2AE1;󲫡
F2AE2;󲫢
F2AE3;󲫣
F2AE4;󲫤
F2AE5;󲫥
F2AE6;󲫦
F2AE7;󲫧
F2AE8;󲫨
F2AE9;󲫩
F2AEA;󲫪
F2AEB;󲫫
F2AEC;󲫬
F2AED;󲫭
F2AEE;󲫮
F2AEF;󲫯
F2AF0;󲫰
F2AF1;󲫱
F2AF2;󲫲
F2AF3;󲫳
F2AF4;󲫴
F2AF5;󲫵
F2AF6;󲫶
F2AF7;󲫷
F2AF8;󲫸
F2AF9;󲫹
F2AFA;󲫺
F2AFB;󲫻
F2AFC;󲫼
F2AFD;󲫽
F2AFE;󲫾
F2AFF;󲫿
F2B00;󲬀
F2B01;󲬁
F2B02;󲬂
F2B03;󲬃
F2B04;󲬄
F2B05;󲬅
F2B06;󲬆
F2B07;󲬇
F2B08;󲬈
F2B09;󲬉
F2B0A;󲬊
F2B0B;󲬋
F2B0C;󲬌
F2B0D;󲬍
F2B0E;󲬎
F2B0F;󲬏
F2B10;󲬐
F2B11;󲬑
F2B12;󲬒
F2B13;󲬓
F2B14;󲬔
F2B15;󲬕
